n,sum,dp_time,correct
50,5253,0.12886691093444824,True
50,5280,0.13255620002746582,True
50,5262,0.13103795051574707,True
50,5244,0.13147497177124023,True
50,5208,0.12636494636535645,True
100,10458,1.3753890991210938,True
100,10500,1.403778076171875,True
100,10524,1.4264140129089355,True
100,10446,1.4096920490264893,True
100,10533,1.4244389533996582,True
150,15711,5.538877964019775,True
150,15777,5.590356111526489,True
150,15753,5.55689001083374,True
150,15774,5.571736097335815,True
150,15801,5.629189968109131,True
200,20949,15.4238121509552,True
200,21012,14.77457594871521,True
200,20952,14.795183181762695,True
200,21012,14.83401870727539,True
200,21009,14.712920904159546,True
250,26322,38.418053150177,True
250,26178,37.909029960632324,True
250,26289,38.36653685569763,True
250,26265,38.380003690719604,True
250,26247,37.66420006752014,True
301,31407,67.6925401687622,True
300,31506,62.78958988189697,True
300,31482,67.48567509651184,True
300,31476,67.33390069007874,True
300,31449,67.88572096824646,True
350,36771,93.48397421836853,True
350,36801,100.66383528709412,True
350,36831,100.92546820640564,True
350,36801,93.25435900688171,True
350,36672,93.07493782043457,True
400,41964,137.89223384857178,True
400,41958,148.9067599773407,True
400,42132,153.45172786712646,True
400,42006,140.97154211997986,True
400,41883,151.24661922454834,True
450,47349,199.78679776191711,True
450,47235,200.97708010673523,True
450,47184,216.52626991271973,True
450,47340,199.52588891983032,True
450,47295,215.72224378585815,True
